username,name,email,department,phone
Malka,malka,bob098765bn@gmail.com,IT,050-8552535
Bob,Bob,bob098765bn@gmail.com,Marketing,050-8552535
SHIMI,shim,bob098765bn@gmail.com,Marketing,050-8552535
Malka,malka,bob098765bn@gmail.com,IT,050-8552535
Bob,Bob,bob098765bn@gmail.com,Marketing,050-8552535
SHIMI,shim,bob098765bn@gmail.com,Marketing,050-8552535
Malka,malka,bob098765bn@gmail.com,IT,050-8552535
Bob,Bob,bob098765bn@gmail.com,Marketing,050-8552535
SHIMI,shim,bob098765bn@gmail.com,Marketing,050-8552535
Malka,malka,bob098765bn@gmail.com,IT,050-8552535
Bob,Bob,bob098765bn@gmail.com,Marketing,050-8552535
SHIMI,shim,bob098765bn@gmail.com,Marketing,050-8552535
